Rank,Song,Streams,Artist(s),Date published
1,Shape of You,3.27,Ed Sheeran,06-Jan-17
2,Blinding Lights,3.214,The Weeknd,29-Nov-19
3,Dance Monkey,2.679,Tones And I,10-May-19
4,Rockstar,2.526,Post Malone featuring 21 Savage,15-Sep-17
5,Someone You Loved,2.515,Lewis Capaldi,08-Nov-18
6,Sunflower”",2.44,Post Malone and Swae Lee,18-Oct-18
7,One Dance,2.439,Drake featuring Wizkid and Kyla,05-Apr-16
8,Closer,2.386,The Chainsmokers featuring Halsey,31-Aug-16
9,Señorita,2.255,Shawn Mendes and Camila Cabello,21-Jun-19
10,Believer,2.253,Imagine Dragons,01-Feb-17
11,Perfect,2.198,Ed Sheeran,03-Mar-17
12,Stay,2.172,The Kid Laroi and Justin Bieber,09-Jul-21
13,Bad Guy,2.143,Billie Eilish,29-Mar-19
14,Say You Won't Let Go,2.139,James Arthur,09-Sep-16
15,Thinking Out Loud,2.091,Ed Sheeran,20-Jun-14
16,Lucid Dreams,2.068,Juice WRLD,04-May-18
17,Heat Waves,2.062,Glass Animals,29-Jun-20
18,Don't Start Now,2.043,Dua Lipa,01-Nov-19
19,God's Plan,2.037,Drake,19-Jan-18
20,Starboy,2.009,The Weeknd featuring Daft Punk,21-Sep-16
21,Photograph,1.985,Ed Sheeran,20-Jun-14
22,Watermelon Sugar,1.977,Harry Styles,15-May-20
23,Lovely,1.973,Billie Eilish and Khalid,19-Apr-18
24,Bohemian Rhapsody,1.952,Queen,31-Oct-75
25,Something Just Like This,1.944,The Chainsmokers and Coldplay,22-Feb-17
26,Shallow,1.92,Lady Gaga and Bradley Cooper,27-Sep-18
27,SAD!,1.911,XXXTENTACION,01-Mar-18
28,Love Yourself,1.903,Justin Bieber,09-Nov-15
29,Circles,1.875,Post Malone,30-Aug-19
30,All of Me,1.87,John Legend,12-Aug-13
31,Take Me to Church,1.861,Hozier,13-Sep-13
32,Thunder,1.828,Imagine Dragons,27-Apr-17
33,7 Rings,1.821,Ariana Grande,18-Jan-19
34,Goosebumps,1.821,Travis Scott featuring Kendrick Lamar,02-Sep-16
35,Jocelyn Flores,1.819,XXXTENTACION,31-Oct-17
36,Havana,1.811,Camila Cabello featuring Young Thug,03-Aug-17
37,XO Tour Llif3,1.772,Lil Uzi Vert,24-Mar-17
38,Stressed Out,1.763,Twenty One Pilots,28-Apr-15
39,New Rules,1.759,Dua Lipa,02-Jun-17
40,Sweater Weather,1.756,The Neighbourhood,28-Mar-12
41,Happier,1.744,Marshmello and Bastille,17-Aug-18
42,Sicko Mode,1.725,Travis Scott featuring Drake,03-Aug-18
43,Humble,1.721,Kendrick Lamar,30-Mar-17
44,Let Her Go,1.712,Passenger,24-Jul-12
45,Counting Stars,1.706,OneRepublic,25-Mar-13
46,Wake Me Up,1.704,Avicii,17-Jun-13
47,Sorry,1.689,Justin Bieber,22-Oct-15
48,Lean On,1.673,Major Lazer and DJ Snake featuring MØ,02-Mar-15
49,Riptide,1.673,Vance Joy,21-May-13
50,Let Me Love You,1.663,DJ Snake featuring Justin Bieber,05-Aug-16
51,Roses (Imanbek Remix),1.662,Saint Jhn with Imanbek,18-Sep-19
52,The Hills,1.654,The Weeknd,27-May-15
53,Better Now,1.651,Post Malone,27-Apr-18
54,Good 4 U,1.639,Olivia Rodrigo,14-May-21
55,Can't Hold Us,1.637,Macklemore & Ryan Lewis featuring Ray Dalton,16-Aug-11
56,Congratulations,1.636,Post Malone featuring Quavo,04-Nov-16
57,Faded,1.635,Alan Walker,03-Dec-15
58,Treat You Better,1.624,Shawn Mendes,03-Jun-16
59,Don't Let Me Down,1.611,The Chainsmokers featuring Daya,05-Feb-16
60,Drivers License,1.61,Olivia Rodrigo,08-Jan-21
61,Stay with Me,1.61,Sam Smith,14-Apr-14
62,One Kiss,1.609,Calvin Harris and Dua Lipa,06-Apr-18
63,I Took a Pill in Ibiza (Seeb Remix),1.606,Mike Posner and Seeb,14-Apr-15
64,Without Me,1.599,Halsey,04-Oct-18
65,Uptown Funk,1.597,Mark Ronson featuring Bruno Mars,10-Nov-14
66,I Don't Care,1.595,Ed Sheeran and Justin Bieber,10-May-19
67,Thank U Next,1.583,Ariana Grande,03-Nov-18
68,Memories,1.574,Maroon 5,20-Sep-19
69,Despacito (Remix),1.572,Luis Fonsi and Daddy Yankee featuring Justin Bieber,17-Apr-17
70,Too Good at Goodbyes,1.57,Sam Smith,08-Sep-17
71,Mr. Brightside,1.56,The Killers,07-Jun-04
72,Mood,1.556,24kGoldn and Iann Dior,24-Jul-20
73,Demons,1.548,Imagine Dragons,04-Sep-12
74,Unforgettable,1.547,French Montana featuring Swae Lee,07-Apr-17
75,Industry Baby,1.545,Lil Nas X featuring Jack Harlow,23-Jul-21
76,Montero (Call Me by Your Name),1.542,Lil Nas X,26-Mar-21
77,Lose Yourself,1.541,Eminem,28-Oct-02
78,Levitating,1.535,Dua Lipa featuring DaBaby,01-Oct-20
79,Dakiti,1.529,Bad Bunny and Jhay Cortez,30-Oct-20
80,Moonlight,1.526,XXXTENTACION,16-Mar-18
81,The Box,1.524,Roddy Ricch,06-Dec-19
82,Dynamite,1.507,BTS,21-Aug-20
83,That's What I Like,1.499,Bruno Mars,18-Nov-16
84,Wonderwall,1.498,Oasis,30-Oct-95
85,Cheap Thrills,1.494,Sia,29-Jan-16
86,Do I Wanna Know?,1.477,Arctic Monkeys,19-Jun-13
87,Girls Like You,1.473,Maroon 5 featuring Cardi B[B],30-May-18
88,Stitches,1.47,Shawn Mendes,14-Apr-15
89,See You Again,1.467,Wiz Khalifa featuring Charlie Puth,10-Mar-15
90,I Like Me Better,1.466,Lauv,19-May-17
91,7 Years,1.464,Lukas Graham,16-Jun-15
92,Despacito,1.462,Luis Fonsi featuring Daddy Yankee,12-Jan-17
93,There's Nothing Holdin' Me Back,1.461,Shawn Mendes,20-Apr-17
94,'Till I Collapse,1.458,Eminem featuring Nate Dogg,26-May-02
95,Rockstar,1.457,DaBaby featuring Roddy Ricch,17-Apr-20
96,I'm Yours,1.454,Jason Mraz,12-Feb-08
97,As It Was,1.451,Harry Styles,01-Apr-22
98,Youngblood,1.444,5 Seconds Of Summer,12-Apr-18
99,Sugar,1.444,Maroon 5,29-Aug-14
100,Can't Stop the Feeling!,1.436,Justin Timberlake,06-May-16